STAR1, 66.000000, 293.000000, 838.000000, 515.000000
STAR2, 560.000000, 592.000000, 684.000000, 636.000000
STAR3, 766.000000, 743.000000, 611.000000, 684.000000
donut, 191.348071, 575.365945, 733.220131, 520.830293
spiral, 445.302597, 190.164935, 825.333968, 647.888962
spiral, 317.302597, 574.164935, 718.484467, 561.061086
circle, 575.296074, 575.332334, 687.146832, 643.030692
donut, 191.348071, 959.365945, 611.007218, 474.740056
spiral, 317.302597, 318.164935, 799.959742, 591.787911
flower, 191.315269, 703.255169, 692.521686, 505.469737
cross, 575.500000, 959.500000, 564.856080, 596.985232
circle, 575.296074, 703.332334, 646.409194, 627.667280
circle, 63.296074, 191.332334, 870.813395, 526.170379
flower, 575.315269, 831.255169, 605.693811, 612.319238
circle, 63.296074, 319.332334, 830.075758, 510.806966
flower, 319.315269, 191.255169, 840.108825, 607.661025
circle, 63.296074, 703.332334, 707.862844, 464.716729
cross, 191.500000, 447.500000, 773.896869, 536.225969
donut, 959.348071, 703.365945, 600.302018, 749.892708
circle, 447.296074, 575.332334, 702.510244, 602.293055
cross, 319.500000, 831.500000, 636.320543, 530.873369
cross, 831.500000, 447.500000, 697.079806, 739.914158
circle, 319.296074, 703.332334, 677.136019, 546.192004
spiral, 829.302597, 702.164935, 616.293179, 708.648225
donut, 831.348071, 319.365945, 737.878344, 755.245308
flower, 191.315269, 319.255169, 814.734600, 551.559975
flower, 703.315269, 959.255169, 549.592761, 637.693463
cross, 63.500000, 575.500000, 748.522644, 480.124919
star, 959.285438, 197.456170, 761.321795, 810.595435
circle, 575.296074, 191.332334, 809.359745, 689.120930
circle, 703.296074, 63.332334, 834.733970, 745.221980
donut, 959.348071, 447.365945, 681.777294, 780.619533
flower, 575.315269, 447.255169, 727.906724, 658.409476
spiral, 701.302597, 830.164935, 590.918954, 652.547175
circle, 447.296074, 959.332334, 580.297331, 556.202817
flower, 447.315269, 63.255169, 865.483050, 663.762076
star, 191.285438, 837.456170, 649.814081, 489.352545
spiral, 957.302597, 62.164935, 804.617955, 826.202926
cross, 319.500000, 447.500000, 758.533456, 576.963607
flower, 703.315269, 575.255169, 671.805674, 683.783701
cross, 959.500000, 575.500000, 640.978756, 765.288383
spiral, 189.302597, 62.164935, 896.798431, 581.777099
flower, 447.315269, 831.255169, 621.057224, 571.581600
