STAR1, 751.000000, 660.000000, 727.000000, 424.000000
STAR2, 6.000000, 860.000000, 593.000000, 708.000000
STAR3, 965.000000, 499.000000, 733.000000, 315.000000
flower, 575.315269, 703.255169, 694.165057, 489.532141
circle, 63.296074, 959.332334, 639.074486, 716.112321
flower, 831.315269, 319.255169, 642.120154, 308.900600
donut, 191.348071, 319.365945, 473.776760, 507.918697
circle, 575.296074, 191.332334, 534.984680, 354.849237
flower, 447.315269, 703.255169, 660.487764, 529.331972
circle, 319.296074, 319.332334, 507.429922, 468.126191
spiral, 61.302597, 830.164935, 598.387178, 682.747724
spiral, 445.302597, 830.164935, 699.419059, 563.348233
cross, 831.500000, 447.500000, 682.044715, 342.584870
donut, 959.348071, 447.365945, 715.640353, 302.797010
spiral, 61.302597, 62.164935, 359.588196, 480.683961
flower, 319.315269, 447.255169, 547.210809, 501.777214
donut, 319.348071, 63.365945, 427.854394, 400.764279
donut, 447.348071, 63.365945, 461.531687, 360.964449
donut, 319.348071, 831.365945, 666.653375, 602.828042
spiral, 957.302597, 190.164935, 635.129083, 235.762443
spiral, 957.302597, 62.164935, 595.329253, 202.085150
donut, 63.348071, 447.365945, 479.899297, 581.395821
flower, 63.315269, 703.255169, 559.455882, 648.731462
