STAR1, 62.000000, 147.000000, 790.000000, 716.000000
STAR2, 831.000000, 995.000000, 616.000000, 422.000000
STAR3, 531.000000, 63.000000, 648.000000, 712.000000
donut, 447.348071, 447.365945, 695.511764, 604.945889
donut, 447.348071, 63.365945, 672.290757, 717.276043
cross, 191.500000, 575.500000, 778.102532, 582.934774
circle, 703.296074, 447.332334, 620.638173, 589.478195
donut, 191.348071, 191.365945, 754.917862, 695.313330
circle, 703.296074, 703.332334, 636.118844, 514.591426
cross, 319.500000, 63.500000, 709.697805, 724.967977
circle, 703.296074, 63.332334, 597.417166, 701.808349
donut, 831.348071, 703.365945, 598.662282, 506.838113
circle, 63.296074, 319.332334, 800.114761, 665.623257
